"date","(중국 AND  대만 AND  양안)"
"20180623","3"
"20180630","3"
"20180707","15"
"20180714","7"
"20180721","0"
"20180728","6"
"20180804","18"
"20180811","3"
"20180818","9"
"20180825","2"
"20180901","3"
"20180908","6"
"20180915","2"
"20180922","1"
"20180929","4"
"20181006","3"
"20181013","2"
"20181020","5"
"20181027","4"
"20181103","5"
"20181110","6"
"20181117","25"
"20181124","46"
"20181201","6"
"20181208","5"
"20181215","5"
"20181222","6"
"20181229","41"
"20190105","7"
"20190112","4"
"20190119","5"
"20190126","5"
"20190202","0"
"20190209","0"
"20190216","3"
"20190223","1"
"20190302","3"
"20190309","5"
"20190316","3"
"20190323","3"
"20190330","25"
"20190406","2"
"20190413","8"
"20190420","0"
"20190427","3"
"20190504","7"
"20190511","7"
"20190518","1"
"20190525","2"
"20190601","1"
"20190608","2"
"20190615","3"
"20190622","1"
"20190629","7"
"20190706","8"
"20190713","14"
"20190720","6"
"20190727","24"
"20190803","9"
"20190810","7"
"20190817","4"
"20190824","4"
"20190831","3"
"20190907","3"
"20190914","5"
"20190921","3"
"20190928","25"
"20191005","9"
"20191012","1"
"20191019","1"
"20191026","2"
"20191102","6"
"20191109","1"
"20191116","3"
"20191123","4"
"20191130","4"
"20191207","5"
"20191214","1"
"20191221","8"
"20191228","11"
"20200104","18"
"20200111","87"
"20200118","4"
"20200125","4"
"20200201","5"
"20200208","3"
"20200215","0"
"20200222","1"
"20200229","1"
"20200307","1"
"20200314","0"
"20200321","1"
"20200328","5"
"20200404","0"
"20200411","3"
"20200418","0"
"20200425","1"
"20200502","0"
"20200509","2"
"20200516","54"
"20200523","19"
"20200530","8"
"20200606","8"
"20200613","1"
"20200620","4"
"20200627","5"
"20200704","1"
"20200711","4"
"20200718","2"
"20200725","17"
"20200801","4"
"20200808","8"
"20200815","4"
"20200822","7"
"20200829","5"
"20200905","0"
"20200912","1"
"20200919","8"
"20200926","8"
"20201003","19"
"20201010","29"
"20201017","7"
"20201024","8"
"20201031","2"
"20201107","10"
"20201114","6"
"20201121","5"
"20201128","1"
"20201205","2"
"20201212","5"
"20201219","1"
"20201226","4"
"20210102","9"
"20210109","3"
"20210116","1"
"20210123","14"
"20210130","3"
"20210206","6"
"20210213","5"
"20210220","6"
"20210227","8"
"20210306","16"
"20210313","3"
"20210320","6"
"20210327","19"
"20210403","5"
"20210410","9"
"20210417","42"
"20210424","6"
"20210501","16"
"20210508","2"
"20210515","12"
"20210522","121"
"20210529","11"
"20210605","24"
"20210612","46"
"20210619","11"
"20210626","10"
"20210703","7"
"20210710","3"
"20210717","9"
"20210724","8"
"20210731","6"
"20210807","1"
"20210814","9"
"20210821","1"
"20210828","2"
"20210904","5"
"20210911","14"
"20210918","17"
"20210925","7"
"20211002","41"
"20211009","48"
"20211016","16"
"20211023","27"
"20211030","30"
"20211106","32"
"20211113","24"
"20211120","28"
"20211127","26"
"20211204","20"
"20211211","28"
"20211218","41"
"20211225","17"
"20220101","23"
"20220108","6"
"20220115","5"
"20220122","19"
"20220129","16"
"20220205","6"
"20220212","8"
"20220219","12"
"20220226","15"
"20220305","19"
"20220312","10"
"20220319","10"
"20220326","7"
"20220402","2"
"20220409","4"
"20220416","2"
"20220423","3"
"20220430","4"
"20220507","6"
"20220514","7"
"20220521","21"
"20220528","9"
"20220604","5"
"20220611","13"
"20220618","6"
"20220625","3"
